DATAFLOW;LAST UPDATE;freq;nrg_bal;siec;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2005;1844722;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2006;1772222;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2007;1731944;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2008;1925278;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2009;2223333;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2010;2475976;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2011;2220217;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2012;2454173;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2013;1981667;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2014;2753981;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2015;3050039;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2016;2947328;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2017;2724016;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2018;2901487;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2019;2333226;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2020;2438451;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2021;2101760;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;IT;2022;2753304;
