DATAFLOW;LAST UPDATE;freq;product;currency;unit;indic_en;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;FR;2018;78.003;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;FR;2019;84.896;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;FR;2020;74.488;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;FR;2021;75.368;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;FR;2022;151.082;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;IT;2011;8.24;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;IT;2012;10.58;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;IT;2013;10.53;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;IT;2014;9.58;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;IT;2015;9.12;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;IT;2016;8;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;IT;2017;6.88;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;IT;2018;73.072;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;IT;2019;82.732;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;IT;2020;72.576;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;IT;2021;63.074;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;IT;2022;196.360;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;PT;2011;9.38;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;PT;2012;11.09;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;PT;2013;11.46;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;PT;2014;11.63;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;PT;2015;11.42;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;PT;2016;9.24;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;PT;2017;7.52;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;PT;2018;74.048;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;PT;2019;86.291;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;PT;2020;73.083;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;PT;2021;62.999;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;PT;2022;186.612;
